1797	0
2999	50148
3401	136676
1345	235421
1307	272470
1290	309308
1711	346461
1941	395465
480	449815
518	463780
1019	478669
2134	508617
3502	569221
1389	669458
882	710478
2193	734416
119	798737
1606	802231
3638	847621
1388	956428
290	996257
613	1004684
2185	1022530
36	1085296
202	1086351
137	1092074
0::GMXX0154::Aachen, Germany
29::SZXX0001::Aarau, Switzerland
33::USPA0001::Aaronsburg, PA
29::EIXX0052::Aasleagh, Ireland
32::NIXX0001::Aba, Nigeria
27::IRXX0001::Abadan, Iran
27::BRXX0346::Abaete, Brazil
29::CHXX0243::Abag Qi, China
29::USAL0001::Abbeville, AL
28::FRXX0111::Abbeville, France
32::USGA0001::Abbeville, GA
28::USLA0001::Abbeville, LA
28::USMS0001::Abbeville, MS
28::USSC0001::Abbeville, SC
28::UKXX0201::Abbotsbury, United Kingdom
41::CAXX0001::Abbotsford, Canada
33::USWI0001::Abbotsford, WI
29::USTX0001::Abbott, TX
25::USPA0002::Abbottstown, PA
30::USKS0001::Abbyville, KS
28::USMD0001::Abell, MD
24::DAXX0001::Abenra, Denmark
30::NIXX0002::Abeokuta, Nigeria
32::USND0001::Abercrombie, ND
30::UKXX1654::Aberdare, United Kingdom
39::USMD0003::Aberdeen Proving Ground, MD
42::USID0001::Aberdeen, ID
27::?UNKNOWN::Aberdeen, KY
27::USMD0002::Aberdeen, MD
27::USMS0002::Aberdeen, MS
27::USNC0001::Aberdeen, NC
27::USOH0001::Aberdeen, OH
27::USSD0001::Aberdeen, SD
27::UKXX0001::Aberdeen, United Kingdom
39::USWA0001::Aberdeen, WA
27::UKXX0196::Abergwesyn, United Kingdom
41::USAL0002::Abernant, AL
27::USTX0002::Abernathy, TX
28::UKXX0180::Aberporth, United Kingdom
40::UKXX0193::Abersoch, United Kingdom
39::UKXX0203::Aberystwyth, United Kingdom
42::SAXX0036::Abha, Saudi Arabia
33::IVXX0001::Abidjan, Ivory Coast
35::USNE0001::Abie, NE
23::USKS0002::Abilene, KS
26::USTX0003::Abilene, TX
26::USIL0001::Abingdon, IL
27::USMD0004::Abingdon, MD
27::UKXX0002::Abingdon, United Kingdom
39::USVA0001::Abingdon, VA
27::USCT0001::Abington, CT
27::USMA0001::Abington, MA
27::USPA0003::Abington, PA
27::USNM0001::Abiquiu, NM
26::USLA0002::Abita Springs, LA
32::AMXX0001::Abovyan, Armenia
31::USWI0002::Abrams, WI
25::BRXX0735::Abreu e Lima, Brazil
35::ASXX0200::Abrolhos Island North Island, Australia
54::USND0002::Absaraka, ND
27::USMT0001::Absarokee, MT
28::USNJ0001::Absecon, NJ
26::TCXX0001::Abu Dhabi, United Arab Emirates
46::NIXX0022::Abuja, Nigeria
29::SAXX0001::Abyar Ali, Saudi Arabia
38::ESXX0006::Acajutla, El Salvador
36::USCA0001::Acampo, CA
25::MXGR0150::Acapulco, Mexico
31::VEXX0001::Acarigua, Venezuela
34::USMD0005::Accident, MD
27::USMD0006::Accokeek, MD
27::USVA0002::Accomac, VA
26::USMA0002::Accord, MA
25::USNY0001::Accord, NY
25::USWV0001::Accoville, WV
28::GHXX0001::Accra, Ghana
27::UKXX1241::Accrington, United Kingdom
41::USTX0005::Ace, TX
22::UKXX0194::Acharn, United Kingdom
37::CHXX0001::Acheng, China
28::USOK0001::Achille, OK
26::USVA0003::Achilles, VA
27::USTX0006::Ackerly, TX
26::USMS0003::Ackerman, MS
27::USPA0004::Ackermanville, PA
32::USIA0001::Ackley, IA
25::USIA0002::Ackworth, IA
27::USLA0003::Acme, LA
23::USMI0001::Acme, MI
23::USPA0005::Acme, PA
23::USWA0002::Acme, WA
23::USPA0006::Acosta, PA
25::USNY0002::Acra, NY
23::ISXX0001::Acre, Israel
27::USCA0002::Acton, CA
24::USMA0003::Acton, MA
24::USME0003::Acton, ME
24::USMT0002::Acton, MT
24::BRXX0686::Acucena, Brazil
30::USMA0004::Acushnet, MA
27::USGA0002::Acworth, GA
26::USNH0001::Acworth, NH
26::SAXX0002::Ad Dammam, Saudi Arabia
38::USMI0002::Ada, MI
22::USMN0001::Ada, MN
22::USOH0002::Ada, OH
22::USOK0002::Ada, OK
22::USPA0007::Adah, PA
23::USIA0003::Adair, IA
24::USIL0002::Adair, IL
24::USOK0003::Adair, OK
24::USGA0003::Adairsville, GA
30::USKY0638::Adairville, KY
29::USAK0001::Adak, AK
23::USVT0001::Adamant, VT
26::BRXX0001::Adamantina, Brazil
33::USNY0004::Adams Basin, NY
30::USNY0005::Adams Center, NY
31::USSC0002::Adams Run, SC
28::USKY0639::Adams, KY
24::USMA0005::Adams, MA
24::USMN0002::Adams, MN
24::USND0003::Adams, ND
24::USNE0002::Adams, NE
24::USNY0003::Adams, NY
24::USOK0004::Adams, OK
24::USOR0001::Adams, OR
24::USTN0001::Adams, TN
24::USWI0003::Adams, WI
24::USPA0008::Adamsburg, PA
28::ASXX0327::Adamsons Peak, Australia
39::USMD0007::Adamstown, MD
28::USPA0009::Adamstown, PA
28::USAL0003::Adamsville, AL
29::USOH0003::Adamsville, OH
29::USPA0010::Adamsville, PA
29::USRI0001::Adamsville, RI
29::USTN0002::Adamsville, TN
29::TUXX0061::Adana, Turkey
28::TUXX0001::Adana/Incirlik, Turkey
37::USIL0003::Addieville, IL
29::USOK0005::Addington, OK
28::ETXX0001::Addis Ababa, Ethiopia
36::USLA0004::Addis, LA
24::USAL0004::Addison, AL
26::USIL0004::Addison, IL
26::USME0004::Addison, ME
26::USMI0003::Addison, MI
26::USNY0006::Addison, NY
26::USPA0011::Addison, PA
26::USTX0007::Addison, TX
26::USWA0003::Addy, WA
23::USOH0004::Addyston, OH
27::USGA0004::Adel, GA
23::USIA0004::Adel, IA
23::USOR0002::Adel, OR
23::ASXX0001::Adelaide, Australia
34::USCA0003::Adelanto, CA
27::ASXX0148::Adele Island, Australia
38::USWI0004::Adell, WI
24::USOH0005::Adelphi, OH
26::USNJ0002::Adelphia, NJ
27::YMXX0001::Aden, Yemen
26::USOH0006::Adena, OH
24::USAL0005::Adger, AL
24::USCA0004::Adin, CA
23::USNY0007::Adirondack, NY
29::USPR0001::Adjuntas, Puerto Rico
36::USTX0008::Adkins, TX
25::RSXX0446::Adler, Russia
28::USKS0003::Admire, KS
25::USWA0004::Adna, WA
23::USMN0003::Adolph, MN
25::USKY0640::Adolphus, KY
27::USAR0001::Adona, AR
24::AGXX0034::Adrar, Algeria
29::USGA0005::Adrian, GA
